,Katılım oranı,Toplam seçmen,Kullanılan oy,Geçerli oy,CHP,HDP,Diğer,Bağımsız,SP,AK Parti,İYİ Parti,HÜDA-PAR,VP,MHP,CHP MPs,HDP MPs,Diğer MPs,Bağımsız MPs,SP MPs,AK Parti MPs,İYİ Parti MPs,HÜDA-PAR MPs,VP MPs,MHP MPs
Adana,"% 86,5",1564734,1353318,1328643,346290,179455,0,409,14123,460847,161432,7324,2551,156212,4,2,0,0,0,5,2,0,0,2
Adıyaman,"% 86,8",409673,355520,346806,41797,53440,0,0,5626,191088,18277,4262,599,31717,1,0,0,0,0,4,0,0,0,0
Afyonkarahisar,"% 90,8",520670,472985,461174,66696,5775,0,0,5101,255412,61683,994,1175,64338,1,0,0,0,0,3,1,0,0,1
Aksaray,"% 87,3",273881,239186,233988,23157,3675,0,0,1952,131375,24659,648,460,48062,0,0,0,0,0,2,1,0,0,1
Amasya,"% 91,7",253305,232385,227562,56311,5163,0,0,2535,106928,27554,368,465,28238,1,0,0,0,0,2,0,0,0,0
Ankara,"% 89,7",4010856,3598584,3546557,925159,227129,0,1494,53063,1434061,429079,3856,7782,464934,10,1,0,0,0,15,5,0,0,5
Antalya,"% 87,7",1725691,1513118,1480239,431419,108660,0,1284,14252,517495,250227,3188,3959,149755,5,1,0,0,0,6,3,0,0,1
Ardahan,"% 85,2",71156,60614,58425,15115,13661,0,0,585,21702,2994,205,207,3956,1,0,0,0,0,1,0,0,0,0
Artvin,% 88,134734,118525,115450,36973,5675,0,0,1679,46764,11825,329,432,11773,1,0,0,0,0,1,0,0,0,0
Aydın,"% 89,3",837892,748162,731456,248188,68541,0,0,5205,237771,108069,1822,2653,59207,3,0,0,0,0,4,1,0,0,0
Ağrı,"% 79,1",302403,239273,231195,6727,143882,0,287,1891,66616,3834,1740,420,5798,0,3,0,0,0,1,0,0,0,0
Balıkesir,"% 91,1",970997,884119,864512,262559,36760,0,225,10073,357899,127211,1532,2881,65372,3,0,0,0,0,5,1,0,0,0
Bartın,"% 87,9",150690,132460,126887,32305,2183,0,0,2692,59677,7406,350,671,21603,1,0,0,0,0,1,0,0,0,0
Batman,% 86,350886,301863,292832,5474,181765,0,15998,9125,72937,3519,11,444,3559,0,4,0,0,0,1,0,0,0,0
Bayburt,"% 86,6",57571,49836,49109,2096,593,0,0,1593,28214,3020,79,51,13463,0,0,0,0,0,1,0,0,0,0
Bilecik,"% 91,1",158558,144442,141453,39823,4774,0,0,1583,61256,19960,459,386,13212,1,0,0,0,0,1,0,0,0,0
Bingöl,"% 81,8",185328,151541,144752,3310,38801,0,0,1570,80016,5909,6301,344,8501,0,1,0,0,0,2,0,0,0,0
Bitlis,"% 83,8",203438,170496,164446,4494,69963,0,0,1824,73700,5397,1815,539,6714,0,1,0,0,0,2,0,0,0,0
Bolu,"% 90,1",228496,205775,201616,40952,4186,0,0,3069,105094,17235,381,578,30121,1,0,0,0,0,2,0,0,0,0
Burdur,"% 90,4",201666,182403,176419,35688,3383,0,0,2699,76116,35154,571,750,22058,1,0,0,0,0,2,0,0,0,0
Bursa,"% 90,1",2206210,1988530,1951882,443317,111062,0,885,33515,901456,242976,4500,4728,209443,5,0,0,0,0,11,2,0,0,2
Denizli,"% 91,5",768408,703171,684497,192006,27580,0,573,5759,278894,112671,1740,2176,63098,3,0,0,0,0,4,1,0,0,0
Diyarbakır,"% 84,1",1048908,881628,851563,21285,558119,0,37753,14363,182713,23773,32,1560,11965,0,9,0,0,0,3,0,0,0,0
Düzce,"% 91,5",275005,251528,246784,35864,5029,0,0,3670,138477,16621,312,647,46164,0,0,0,0,0,2,0,0,0,1
Edirne,"% 88,9",318895,283443,276358,125474,10178,0,218,2846,78972,43213,617,885,13955,2,0,0,0,0,1,1,0,0,0
Elazığ,"% 85,3",421537,359592,350997,37696,35283,4,0,6191,191584,26929,5202,587,47521,1,0,0,0,0,4,0,0,0,0
Erzincan,"% 90,5",166617,150804,148484,37863,8385,0,0,1629,66459,6193,144,160,27651,0,0,0,0,0,2,0,0,0,0
Erzurum,"% 87,7",506647,444175,435878,19276,52146,0,0,7689,238924,35503,849,715,80776,0,0,0,0,0,4,1,0,0,1
Eskişehir,"% 89,4",662958,592601,581491,187579,24906,0,277,6470,225529,76760,784,1445,57741,2,0,0,0,0,3,1,0,0,1
Gaziantep,% 86,1246000,1071006,1051139,158775,124877,0,0,12589,540722,70199,8742,2031,133204,2,1,0,0,0,8,1,0,0,2
Giresun,"% 87,1",343043,298957,291601,51807,4495,0,0,3667,156225,41946,851,839,31771,1,0,0,0,0,3,0,0,0,0
Gümüşhane,"% 80,7",103111,83169,81294,6057,1076,0,0,1604,46221,9218,223,184,16711,0,0,0,0,0,2,0,0,0,0
Hakkari,"% 83,8",172446,144464,139754,4832,98062,0,0,746,28043,1826,797,282,5166,0,2,0,0,0,1,0,0,0,0
Hatay,"% 89,2",1069226,953435,939438,287322,103523,0,0,8547,340048,61317,1630,1366,135685,4,1,0,0,0,5,0,0,0,1
Isparta,"% 89,5",320798,286988,279732,46180,5924,0,0,4203,133670,51451,719,919,36666,0,0,0,0,0,3,1,0,0,0
Iğdır,"% 78,5",122470,96112,93930,2668,41544,0,0,1877,19463,5518,202,211,22447,0,1,0,0,0,0,0,0,0,1
Kahramanmaraş,"% 89,8",758718,681181,668827,65307,25723,0,0,10049,390968,64426,1786,1376,109192,1,0,0,0,0,6,0,0,0,1
Karabük,"% 88,3",180135,159040,154692,25770,2288,0,0,2660,83246,18829,329,564,21006,1,0,0,0,0,2,0,0,0,0
Karaman,"% 90,6",178225,161555,157697,25613,2489,0,0,2482,84404,18194,362,534,23619,1,0,0,0,0,2,0,0,0,0
Kars,"% 81,6",186195,151886,147470,21131,47050,0,0,1012,55906,10853,430,426,10662,0,1,0,0,0,2,0,0,0,0
Kastamonu,"% 87,6",293105,256663,249376,38790,2818,0,0,2356,130260,23251,736,1095,50070,1,0,0,0,0,2,0,0,0,0
Kayseri,% 91,978846,890943,874919,108261,20732,0,795,15034,442982,96331,1512,1344,187928,1,0,0,0,0,6,1,0,0,2
Kilis,"% 88,1",87884,77397,75692,11050,1740,0,0,1019,38478,7690,180,131,15404,0,0,0,0,0,2,0,0,0,0
Kocaeli,"% 90,1",1370719,1235166,1211979,243606,89281,0,505,26574,585257,124959,1890,2213,137694,3,1,0,0,0,7,1,0,0,1
Konya,"% 89,5",1543959,1382092,1353185,130874,50166,0,596,31568,804075,121299,2838,2104,209665,2,0,0,0,0,10,1,0,0,2
Kütahya,"% 91,7",433777,397685,389147,49246,4697,0,0,6984,213339,41280,826,931,71844,1,0,0,0,0,3,0,0,0,1
Kırklareli,"% 90,6",280129,253871,248802,118166,8414,0,61,1499,66875,40603,367,695,12122,2,0,0,0,0,1,0,0,0,0
Kırıkkale,"% 87,9",203667,179095,175900,26886,2794,0,0,2117,76844,24020,299,314,42626,1,0,0,0,0,1,0,0,0,1
Kırşehir,"% 86,9",169813,147618,144212,36860,6777,0,101,1437,59465,14602,259,294,24417,1,0,0,0,0,1,0,0,0,0
Malatya,% 88,570134,501905,493428,82575,34641,0,0,7429,265805,21063,1636,726,79553,1,0,0,0,0,4,0,0,0,1
Manisa,"% 91,5",1073362,982476,958932,252569,67173,0,0,8942,385041,130007,2581,2816,109803,3,0,0,0,0,5,1,0,0,1
Mardin,"% 84,5",482446,407633,397182,13149,235453,0,350,3278,120839,4482,8268,937,10426,0,4,0,0,0,2,0,0,0,0
Mersin,"% 88,8",1304186,1157508,1136615,304139,192550,0,374,7841,325476,154112,4529,2575,145019,3,2,0,0,0,4,2,0,0,2
Muğla,% 89,744325,662370,647902,264712,43679,0,0,4006,182589,106787,1438,2666,42025,4,0,0,0,0,2,1,0,0,0
Muş,"% 83,3",234193,194998,188710,4660,102810,0,0,1709,61146,8138,2796,400,7051,0,3,0,0,0,1,0,0,0,0
Nevşehir,"% 90,1",216246,194888,191107,31703,3327,0,0,2233,101545,17192,558,433,34116,1,0,0,0,0,2,0,0,0,0
Niğde,"% 88,2",246473,217302,212662,42972,3527,0,0,2549,93215,25189,451,630,44129,1,0,0,0,0,2,0,0,0,0
Ordu,"% 87,1",572507,498768,484672,110233,6783,0,0,5530,236373,41031,1262,1784,81676,2,0,0,0,0,3,0,0,0,1
Osmaniye,"% 86,7",366847,318091,312447,42318,11206,0,0,3076,113310,41698,1169,677,98993,1,0,0,0,0,2,0,0,0,1
Rize,"% 88,3",259061,228833,224226,29233,3211,0,276,4187,145404,13478,236,372,27829,0,0,0,0,0,3,0,0,0,0
Sakarya,"% 90,6",724603,656683,645199,88480,17395,0,0,13239,375373,60584,880,1232,88016,1,0,0,0,0,4,1,0,0,1
Samsun,"% 88,8",984694,874505,853242,147443,15072,0,713,12137,443467,92811,1313,1814,138472,2,0,0,0,0,5,1,0,0,1
Siirt,"% 84,6",184282,155980,150785,3840,77007,0,0,1410,58754,2399,1782,281,5312,0,2,0,0,0,1,0,0,0,0
Sinop,% 88,164019,144289,139469,33787,2789,0,0,1561,77081,12951,449,789,10062,1,0,0,0,0,1,0,0,0,0
Sivas,% 90,462316,416002,408740,62194,8915,0,266,7163,223526,27850,547,647,77632,1,0,0,0,0,3,0,0,0,1
Tekirdağ,"% 89,5",756497,677215,664389,253669,43706,0,229,5236,230744,77979,930,1643,50253,3,0,0,0,0,3,1,0,0,0
Tokat,"% 90,6",435033,394082,386580,79870,8005,0,0,4946,192931,36118,629,695,63386,1,0,0,0,0,3,0,0,0,1
Trabzon,"% 87,7",598561,524784,513198,77652,6935,0,287,12707,287283,57324,634,957,69419,1,0,0,0,0,4,1,0,0,0
Tunceli,"% 86,6",65964,57123,55868,14703,28509,0,15,178,8214,920,59,67,3203,1,1,0,0,0,0,0,0,0,0
Uşak,"% 91,4",273783,250117,243297,68586,7591,0,0,3409,105772,30905,613,756,25665,1,0,0,0,0,2,0,0,0,0
Van,"% 83,5",653678,545600,527670,13910,313010,0,314,4209,167647,6717,4773,850,16240,0,5,0,0,0,3,0,0,0,0
Yalova,"% 87,4",182888,159868,157177,44985,12528,0,0,2046,69363,15386,292,334,12243,1,0,0,0,0,2,0,0,0,0
Yozgat,"% 86,8",304028,263801,258961,30135,3443,0,0,3046,138247,19161,453,451,64025,1,0,0,0,0,2,0,0,0,1
Zonguldak,"% 88,2",458529,404481,389318,119796,7402,0,1191,6866,178981,30387,830,1553,42312,2,0,0,0,0,3,0,0,0,0
Çanakkale,"% 91,4",418017,382253,374046,126495,14009,0,263,2888,139784,62715,713,1245,25934,2,0,0,0,0,2,0,0,0,0
Çankırı,"% 88,5",137527,121675,119113,7981,1320,0,0,1310,70528,14143,207,251,23373,0,0,0,0,0,2,0,0,0,0
Çorum,"% 91,3",401434,366473,358584,72893,13055,0,0,3904,186506,30166,877,870,50313,1,0,0,0,0,3,0,0,0,0
İstanbul,"% 88,4",10842488,9586950,9437859,2495996,1195602,0,4085,140740,4028906,754285,18031,20386,779828,27,12,0,0,0,43,8,0,0,8
İzmir,"% 89,6",3314384,2968328,2915178,1204004,334935,0,1954,23272,836551,317043,4883,9242,183294,14,2,0,0,0,8,2,0,0,2
Şanlıurfa,"% 81,9",1086881,890353,869880,33741,251586,0,3447,11219,458206,16165,13544,1234,80738,1,4,0,0,0,8,0,0,0,1
Şırnak,"% 87,4",275312,240569,233742,6361,164181,0,408,1069,42507,4629,4856,363,9368,0,3,0,0,0,1,0,0,0,0
